year,state,party,candidatevotes,totalvotes
1976,Alabama,democrat,659170,1182850
1976,Alabama,republican,504070,1182850
1976,Alabama,american independent party,9198,1182850
1976,Alabama,prohibition,6669,1182850
1976,Alabama,communist party use,1954,1182850
1976,Alabama,libertarian,1481,1182850
1976,Alabama,,308,1182850
1976,Alaska,republican,71555,123574
1976,Alaska,democrat,44058,123574
1976,Alaska,libertarian,6785,123574
1976,Alaska,,1176,123574
1976,Arizona,republican,418642,742719
1976,Arizona,democrat,295602,742719
1976,Arizona,independent,19229,742719
1976,Arizona,libertarian,7647,742719
1976,Arizona,socialist workers,928,742719
1976,Arizona,american,564,742719
1976,Arizona,american independent party,85,742719
1976,Arizona,,22,742719
1976,Arkansas,democrat,498604,767535
1976,Arkansas,republican,267903,767535
1976,Arkansas,independent,639,767535
1976,Arkansas,american independent party,389,767535
1976,California,republican,3882244,7803770
1976,California,democrat,3742284,7803770
1976,California,independent,56388,7803770
1976,California,american independent party,51098,7803770
1976,California,peace & freedom,41731,7803770
1976,California,independent,17259,7803770
1976,California,independent,12766,7803770
1976,Colorado,republican,584278,1081440
1976,Colorado,democrat,460801,1081440
1976,Colorado,independent,26047,1081440
1976,Colorado,libertarian,5338,1081440
1976,Colorado,prohibition,2886,1081440
1976,Colorado,socialist workers,1122,1081440
1976,Colorado,u.s. labor,565,1081440
1976,Colorado,communist party use,403,1081440
1976,Connecticut,republican,719261,1386355
1976,Connecticut,democrat,647895,1386355
1976,Connecticut,,10309,1386355
1976,Connecticut,american independent party,7101,1386355
1976,Connecticut,u.s. labor,1789,1386355
1976,Delaware,democrat,122461,235642
1976,Delaware,republican,109780,235642
1976,Delaware,no party affiliation,2432,235642
1976,Delaware,american,645,235642
1976,Delaware,u.s. labor,135,235642
1976,Delaware,prohibition,103,235642
1976,Delaware,socialist labor,86,235642
1976,District of Columbia,democrat,137818,168830
1976,District of Columbia,republican,27873,168830
1976,District of Columbia,,1656,168830
1976,District of Columbia,independent,1195,168830
1976,District of Columbia,,288,168830
1976,Florida,democrat,1636000,3150631
1976,Florida,republican,1469531,3150631
1976,Florida,independent,23643,3150631
1976,Florida,american,21325,3150631
1976,Florida,,132,3150631
1976,Georgia,democrat,979409,1463152
1976,Georgia,republican,483743,1463152
1976,Hawaii,democrat,147375,291301
1976,Hawaii,republican,140003,291301
1976,Hawaii,libertarian,3923,291301
1976,Idaho,republican,204151,340932
1976,Idaho,democrat,126549,340932
1976,Idaho,american,5935,340932
1976,Idaho,libertarian,3558,340932
1976,Idaho,u.s. labor,739,340932
1976,Illinois,republican,2364269,4721282
1976,Illinois,democrat,2271295,4721282
1976,Illinois,independent,55939,4721282
1976,Illinois,communist party use,9250,4721282
1976,Illinois,libertarian,8057,4721282
1976,Illinois,,4417,4721282
1976,Illinois,socialist workers,3615,4721282
1976,Illinois,socialist labor,2422,4721282
1976,Illinois,u.s. labor,2018,4721282
1976,Indiana,republican,1183958,2220362
1976,Indiana,democrat,1014714,2220362
1976,Indiana,american,14048,2220362
1976,Indiana,socialist workers,5695,2220362
1976,Indiana,u.s. labor,1947,2220362
1976,Iowa,republican,632864,1279303
1976,Iowa,democrat,619931,1279303
1976,Iowa,independent,20057,1279303
1976,Iowa,american party of iowa,3041,1279303
1976,Iowa,libertarian,1454,1279303
1976,Iowa,communist party use,551,1279303
1976,Iowa,,509,1279303
1976,Iowa,socialist workers,262,1279303
1976,Iowa,u.s. labor,241,1279303
1976,Iowa,socialist u.s.a.,233,1279303
1976,Iowa,socialist labor,160,1279303
1976,Kansas,republican,502752,957845
1976,Kansas,democrat,430421,957845
1976,Kansas,independent,13185,957845
1976,Kansas,american,4724,957845
1976,Kansas,independent,3242,957845
1976,Kansas,conservative,2118,957845
1976,Kansas,prohibition,1403,957845
1976,Kentucky,democrat,615717,1167142
1976,Kentucky,republican,531852,1167142
1976,Kentucky,american,8308,1167142
1976,Kentucky,independent,6837,1167142
1976,Kentucky,american independent party,2328,1167142
1976,Kentucky,libertarian,814,1167142
1976,Kentucky,u.s. labor,510,1167142
1976,Kentucky,communist party use,426,1167142
1976,Kentucky,socialist workers,350,1167142
1976,Louisiana,democrat,661365,1277383
1976,Louisiana,republican,587446,1277383
1976,Louisiana,american independent party,10058,1277383
1976,Louisiana,communist party use,7417,1277383
1976,Louisiana,independent,6490,1277383
1976,Louisiana,libertarian,3134,1277383
1976,Louisiana,socialist workers,1473,1277383
1976,Maine,republican,236320,482968
1976,Maine,democrat,232279,482968
1976,Maine,independent,10874,482968
1976,Maine,prohibition,3495,482968
1976,Maryland,democrat,759612,1432273
1976,Maryland,republican,672661,1432273
1976,Massachusetts,democrat,1429475,2547558
1976,Massachusetts,republican,1030276,2547558
1976,Massachusetts,independent,65637,2547558
1976,Massachusetts,socialist workers,8138,2547558
1976,Massachusetts,american,7555,2547558
1976,Massachusetts,u.s. labor,4922,2547558
1976,Massachusetts,,1401,2547558
1976,Massachusetts,libertarian,135,2547558
1976,Massachusetts,socialist labor,19,2547558
1976,Michigan,republican,1893742,3651590
1976,Michigan,democrat,1696714,3651590
1976,Michigan,independent,47905,3651590
1976,Michigan,libertarian,5407,3651590
1976,Michigan,human rights,3504,3651590
1976,Michigan,socialist workers,1804,3651590
1976,Michigan,u.s. labor,1366,3651590
1976,Michigan,socialist labor,1148,3651590
1976,Minnesota,democrat,1070440,1949931
1976,Minnesota,republican,819395,1949931
1976,Minnesota,mccarthy '76,35490,1949931
1976,Minnesota,american,13592,1949931
1976,Minnesota,socialist workers,4149,1949931
1976,Minnesota,libertarian,3529,1949931
1976,Minnesota,communist party use,1092,1949931
